Date,Close/Last,Volume,Open,High,Low
03/10/2025,$62.06,27417650,$63.48,$63.69,$61.68
03/07/2025,$63.94,21154790,$62.90,$64.17,$62.19
03/06/2025,$63.41,23155120,$63.80,$64.02,$62.7608
03/05/2025,$63.96,14931470,$63.23,$64.175,$62.80
03/04/2025,$63.26,24588330,$63.74,$63.91,$62.6132
03/03/2025,$63.48,21810690,$64.39,$64.88,$63.19
02/28/2025,$64.11,26711830,$63.925,$64.16,$62.83
02/27/2025,$63.81,24695610,$64.765,$65.29,$63.75
02/26/2025,$64.08,13452340,$64.045,$64.775,$63.94
02/25/2025,$64.27,22100080,$64.60,$64.635,$63.32
02/24/2025,$63.24,17287520,$64.425,$64.58,$63.15
02/21/2025,$63.98,18905790,$64.68,$64.96,$63.88
02/20/2025,$64.67,14836590,$64.96,$65.23,$64.27
02/19/2025,$64.84,14164060,$64.515,$64.96,$64.29
02/18/2025,$64.59,22047470,$65.30,$66.25,$64.43
02/14/2025,$64.87,23693320,$63.79,$65.07,$63.44
02/13/2025,$63.84,43257660,$66.10,$66.50,$62.72
02/12/2025,$62.53,30116280,$61.44,$62.56,$61.20
02/11/2025,$62.43,17702460,$62.53,$62.80,$62.175
